时间,名称,资产总计,仓位占比,昨日持仓,今日持仓,申购或赎回,手续费,日涨跌幅,日盈亏,月涨跌幅,月盈亏,年涨跌幅,年盈亏,总涨跌幅,总盈亏
2025-05-22,低价,100000,4353.52%,4001240.0,4353524.0,100000,10,0.06151164038193327,246122.83596180668,0.12680696266634262,507385.09129907674,0.12680696266634262,507385.09129907674,0.12680696266634262,507385.09129907674
2025-05-22,北证增强,100000,1214.82%,1092801.8,1214817.4400000002,-100000,10,0.20315270344540073,222005.64000000013,0.4475764278079766,489112.3259461269,0.4475764278079766,489112.3259461269,0.4475764278079766,489112.3259461269
2025-05-22,北证机构调研,100000,1406.02%,1332012.71,1406016.3299999998,100000,10,-0.01816071869920772,-24190.30813007935,-0.03599162628540309,-47941.303665727,-0.03599162628540309,-47941.303665727,-0.03599162628540309,-47941.303665727
2025-05-22,北证股权激励,100000,965.76%,850573.3999999999,965761.72,0,10,0.1354125581637047,115178.32000000005,0.28916167723584807,245953.23095619786,0.28916167723584807,245953.23095619786,0.28916167723584807,245953.23095619786
2025-05-22,北证龙虎榜,100000,1460.64%,1340423.3099999998,1460640.2699999998,2000,10,0.08805490721104953,118030.85018557786,0.18386348110604556,246454.89593228803,0.18386348110604556,246454.89593228803,0.18386348110604556,246454.89593228803
2025-05-22,小盘低波,100000,1886.38%,1719934.68,1886379.68,-100000,10,0.15490995274308905,266435.0,0.3338169989450442,574143.4332591048,0.3338169989450442,574143.4332591048,0.3338169989450442,574143.4332591048
2025-05-22,涨停板,100000,5008.05%,4510873.62,5008047.62,-2000,10,0.11065794390400145,499164.0,0.23356106835706394,1053564.4619108965,0.23356106835706394,1053564.4619108965,0.23356106835706394,1053564.4619108965
2025-05-22,研报,100000,3891.39%,3496302.76,3891393.9800000004,-2000,10,0.11357174914680464,397081.22000000067,0.24004204049787406,839259.6487087487,0.24004204049787406,839259.6487087487,0.24004204049787406,839259.6487087487
2025-05-22,绩优小市值等权,100000,4039.83%,3707686.04,4039825.04,-2000,10,0.09011793242342601,334129.0,0.18835710659112515,698369.0146427067,0.18835710659112515,698369.0146427067,0.18835710659112515,698369.0146427067
2025-05-22,股权激励,100000,4461.17%,4235949.29,4461174.29,50000,10,0.040881258303455105,173170.93708482725,0.08343379388738392,353421.3199792703,0.08343379388738392,353421.3199792703,0.08343379388738392,353421.3199792703
2025-05-22,落天使,100000,4598.01%,4598005.4399999995,4598005.4399999995,50000,10,-0.010759453844356948,-49472.027307782155,-0.02140314214962192,-98411.76403705486,-0.02140314214962192,-98411.76403705486,-0.02140314214962192,-98411.76403705486
2025-05-22,龙虎榜,100000,4294.74%,4294742.71,4294742.71,50000,10,-0.011510462952131865,-49434.47685239341,-0.02288843524152573,-98299.9403968497,-0.02288843524152573,-98299.9403968497,-0.02288843524152573,-98299.9403968497
2025/5/26,低价,100000,4353.52%,4001240.0,4353524.0,100000,10,0.0615116403819332,246122.83596180668,0.0615116403819331,246122.8359618061,0.0615116403819331,246122.8359618061,0.0615116403819331,246122.8359618061
2025/5/22,北证增强,100000,1214.82%,1092801.8,1214817.4400000002,-100000,10,0.2031527034454007,222005.64000000013,0.2031527034454008,222005.64000000025,0.2031527034454008,222005.64000000025,0.2031527034454008,222005.64000000025
2025/5/22,北证机构调研,100000,1406.02%,1332012.71,1406016.3299999998,100000,10,-0.018160719,-24190.30813,-0.018160719,-24190.30853,-0.018160719,-24190.30853,-0.018160719,-24190.30853
2025/5/22,北证股权激励,100000,965.76%,850573.3999999999,965761.72,0,10,0.1354125581637047,115178.32000000004,0.1354125581637046,115178.32000000004,0.1354125581637046,115178.32000000004,0.1354125581637046,115178.32000000004
2025/5/22,北证龙虎榜,100000,1460.64%,1340423.3099999998,1460640.2699999998,2000,10,0.0880549072110495,118030.85018557786,0.0880549072110494,118030.8501855778,0.0880549072110494,118030.8501855778,0.0880549072110494,118030.8501855778
2025/5/22,小盘低波,100000,1886.38%,1719934.68,1886379.68,-100000,10,0.154909952743089,266435.0,0.154909952743089,266435.0,0.154909952743089,266435.0,0.154909952743089,266435.0
2025/5/22,涨停板,100000,5008.05%,4510873.62,5008047.62,-2000,10,0.1106579439040014,499164.0,0.1106579439040014,499163.99999999977,0.1106579439040014,499163.99999999977,0.1106579439040014,499163.99999999977
2025/5/22,研报,100000,3891.39%,3496302.76,3891393.98,-2000,10,0.1135717491468046,397081.2200000007,0.1135717491468046,397081.2200000009,0.1135717491468046,397081.2200000009,0.1135717491468046,397081.2200000009
2025/5/22,绩优小市值等权,100000,4039.83%,3707686.04,4039825.04,-2000,10,0.090117932423426,334129.0,0.090117932423426,334129.00000000006,0.090117932423426,334129.00000000006,0.090117932423426,334129.00000000006
2025/5/22,股权激励,100000,4461.17%,4235949.29,4461174.29,50000,10,0.0408812583034551,173170.93708482725,0.040881258303455,173170.93708482687,0.040881258303455,173170.93708482687,0.040881258303455,173170.93708482687
2025/5/22,落天使,100000,4598.01%,4598005.44,4598005.44,50000,10,-0.010759454,-49472.02731,-0.010759454,-49472.02802,-0.010759454,-49472.02802,-0.010759454,-49472.02802
2025/5/22,龙虎榜,100000,4294.74%,4294742.71,4294742.71,50000,10,-0.011510463,-49434.47685,-0.011510463,-49434.47706,-0.011510463,-49434.47706,-0.011510463,-49434.47706
2025/5/21,低价,100000,4353.52%,4001240.0,4353524.0,100000,10,0.0615116403819332,246122.83596180668,0.0,0.0,0.0,0.0,0.0,0.0
2025/5/21,北证增强,100000,1214.82%,1092801.8,1214817.4400000002,-100000,10,0.2031527034454007,222005.64000000013,0.0,0.0,0.0,0.0,0.0,0.0
2025/5/21,北证机构调研,100000,1406.02%,1332012.71,1406016.3299999998,100000,10,-0.018160719,-24190.30813,0.0,0.0,0.0,0.0,0.0,0.0
2025/5/21,北证股权激励,100000,965.76%,850573.3999999999,965761.72,0,10,0.1354125581637047,115178.32000000004,0.0,0.0,0.0,0.0,0.0,0.0
2025/5/21,北证龙虎榜,100000,1460.64%,1340423.3099999998,1460640.2699999998,2000,10,0.0880549072110495,118030.85018557786,0.0,0.0,0.0,0.0,0.0,0.0
2025/5/21,小盘低波,100000,1886.38%,1719934.68,1886379.68,-100000,10,0.154909952743089,266435.0,0.0,0.0,0.0,0.0,0.0,0.0
2025/5/21,涨停板,100000,5008.05%,4510873.62,5008047.62,-2000,10,0.1106579439040014,499164.0,0.0,0.0,0.0,0.0,0.0,0.0
2025/5/21,研报,100000,3891.39%,3496302.76,3891393.98,-2000,10,0.1135717491468046,397081.2200000007,0.0,0.0,0.0,0.0,0.0,0.0
2025/5/21,绩优小市值等权,100000,4039.83%,3707686.04,4039825.04,-2000,10,0.090117932423426,334129.0,0.0,0.0,0.0,0.0,0.0,0.0
2025/5/21,股权激励,100000,4461.17%,4235949.29,4461174.29,50000,10,0.0408812583034551,173170.93708482725,0.0,0.0,0.0,0.0,0.0,0.0
2025/5/21,落天使,100000,4598.01%,4598005.44,4598005.44,50000,10,-0.010759454,-49472.02731,0.0,0.0,0.0,0.0,0.0,0.0
2025/5/21,龙虎榜,100000,4294.74%,4294742.71,4294742.71,50000,10,-0.011510463,-49434.47685,0.0,0.0,0.0,0.0,0.0,0.0
